row_index,d_confirm_time,timeframe,pattern_type,outcome,result_r,reached_tp1,reached_tp2,tp2_score,target,test_start,test_end,atr_percent,d_extreme_time,entry_time,tp1_r,tp2_r,mss_any_wick_160,mss_any_close_160,mss_before_entry_wick_160,mss_before_entry_close_160,mss_bars_wick_160,mss_bars_close_160,mss_break_pct_160
6044,2025-06-16 05:45:00,15m,bearish,sl_before_tp1,-1.237299458991208,0,0,0.2489815297304254,reached_tp2,2025-04-01,2025-07-01,0.1929418151645154,2025-06-16 05:30:00,2025-06-16 06:15:00,5.207628320222141,2.0,0,0,0,0,999,999,0.0
6045,2025-06-16 05:45:00,15m,bearish,sl_before_tp1,-1.237299458991208,0,0,0.3493477096625916,reached_tp2,2025-04-01,2025-07-01,0.1929418151645154,2025-06-16 05:30:00,2025-06-16 06:15:00,7.578382600647848,2.0,0,0,0,0,999,999,0.0
6046,2025-06-16 10:00:00,15m,bullish,sl_before_tp1,-1.272224726511421,0,0,0.1734956330605869,reached_tp2,2025-04-01,2025-07-01,0.1861224398326836,2025-06-16 09:45:00,2025-06-16 10:30:00,0.999376773116892,1.2121963134339953,1,1,1,1,4,4,0.16082969807751155
6047,2025-06-16 10:30:00,30m,bearish,sl_before_tp1,-1.141898094021838,0,0,0.311482937674053,reached_tp2,2025-04-01,2025-07-01,0.2934109734580507,2025-06-16 07:30:00,2025-06-16 13:30:00,5.903531346513329,2.0,1,0,1,0,67,999,0.009105356484090586
6048,2025-06-16 10:30:00,30m,bearish,sl_before_tp1,-1.141898094021838,0,0,0.261368882918689,reached_tp2,2025-04-01,2025-07-01,0.2934109734580507,2025-06-16 07:30:00,2025-06-16 13:30:00,5.3593393528081945,2.0,1,0,1,0,67,999,0.009105356484090586
6049,2025-06-16 10:30:00,30m,bearish,sl_before_tp1,-1.141898094021838,0,0,0.2300649743588335,reached_tp2,2025-04-01,2025-07-01,0.2934109734580507,2025-06-16 07:30:00,2025-06-16 13:30:00,3.8435333136619096,2.0,1,0,1,0,67,999,0.009105356484090586
6050,2025-06-16 10:30:00,30m,bearish,sl_before_tp1,-1.141898094021838,0,0,0.2392204705499128,reached_tp2,2025-04-01,2025-07-01,0.2934109734580507,2025-06-16 07:30:00,2025-06-16 13:30:00,4.669735733254725,2.0,1,0,1,0,67,999,0.009105356484090586
6051,2025-06-16 10:30:00,30m,bearish,sl_before_tp1,-1.141898094021838,0,0,0.2706620351900865,reached_tp2,2025-04-01,2025-07-01,0.2934109734580507,2025-06-16 07:30:00,2025-06-16 13:30:00,4.907241388807012,2.0,1,0,1,0,67,999,0.009105356484090586
6052,2025-06-16 12:00:00,1h,bearish,sl_before_tp1,-1.1038898186215236,0,0,0.2848179381162587,reached_tp2,2025-04-01,2025-07-01,0.4214378678028775,2025-06-16 07:00:00,2025-06-16 13:00:00,3.4992341797662374,2.0,1,0,0,0,79,999,0.03934697173872689
6053,2025-06-16 12:00:00,1h,bearish,sl_before_tp1,-1.1038898186215236,0,0,0.2778867369412391,reached_tp2,2025-04-01,2025-07-01,0.4214378678028775,2025-06-16 07:00:00,2025-06-16 13:00:00,3.830068520757768,2.0,1,0,0,0,79,999,0.03934697173872689
6054,2025-06-16 12:00:00,1h,bearish,sl_before_tp1,-1.1038898186215236,0,0,0.2999971247900275,reached_tp2,2025-04-01,2025-07-01,0.4214378678028775,2025-06-16 07:00:00,2025-06-16 13:00:00,4.696654574768248,2.0,1,0,0,0,79,999,0.03934697173872689
6055,2025-06-16 15:45:00,15m,bearish,sl_before_tp1,-1.1808206399241206,0,0,0.2852461257696873,reached_tp2,2025-04-01,2025-07-01,0.3010347057698879,2025-06-16 14:30:00,2025-06-16 16:00:00,1.8562271622195377,2.0,1,1,0,0,113,114,0.07215338497766524
6056,2025-06-16 19:30:00,15m,bearish,tp2,2.8278517802185124,1,1,0.3035113837789535,reached_tp2,2025-04-01,2025-07-01,0.2749527290199274,2025-06-16 19:15:00,2025-06-16 20:30:00,3.888877508783756,2.0,1,1,0,0,40,40,0.04455712900169412
6057,2025-06-16 23:00:00,15m,bullish,sl_before_tp1,-1.1507825520130557,0,0,0.3002991317311288,reached_tp2,2025-04-01,2025-07-01,0.3153173028597713,2025-06-16 22:45:00,2025-06-16 23:15:00,3.015012444035355,2.0,0,0,0,0,999,999,0.0
6058,2025-06-17 00:00:00,4h,bearish,no_fill,0.0,0,0,0.0572495846038057,reached_tp2,2025-04-01,2025-07-01,1.0634527917121752,2025-06-16 20:00:00,,0.0,0.0,1,1,0,0,19,31,0.0761379860256802
6059,2025-06-17 00:30:00,15m,bullish,no_fill,0.0,0,0,0.0541156295421138,reached_tp2,2025-04-01,2025-07-01,0.454691203729427,2025-06-17 00:15:00,,0.0,0.0,1,1,0,0,7,8,0.08306733120531631
6060,2025-06-17 00:30:00,15m,bullish,no_fill,0.0,0,0,0.0515971799159584,reached_tp2,2025-04-01,2025-07-01,0.454691203729427,2025-06-17 00:15:00,,0.0,0.0,1,1,0,0,7,8,0.08306733120531631
6061,2025-06-17 05:00:00,15m,bearish,no_fill,0.0,0,0,0.0462264613907386,reached_tp2,2025-04-01,2025-07-01,0.2875613288532151,2025-06-17 03:00:00,,0.0,0.0,1,1,0,0,53,53,0.08637264916180977
6062,2025-06-17 14:15:00,15m,bullish,sl_before_tp1,-1.1735757581394424,0,0,0.2968759044326007,reached_tp2,2025-04-01,2025-07-01,0.2923997639684979,2025-06-17 14:00:00,2025-06-17 14:30:00,6.075645391676708,2.0,0,0,0,0,999,999,0.0
6063,2025-06-17 17:30:00,15m,bullish,tp2,2.620590737516467,1,1,0.3057832940192463,reached_tp2,2025-04-01,2025-07-01,0.4336860257382496,2025-06-17 17:00:00,2025-06-17 18:15:00,3.382677747535201,2.0,1,1,0,0,24,24,0.29518860761554333
6064,2025-06-17 17:30:00,30m,bullish,tp2,4.149299589054782,1,1,0.2768034950138621,reached_tp2,2025-04-01,2025-07-01,0.4946712564543894,2025-06-17 17:00:00,2025-06-17 18:00:00,6.4307668338742925,2.0,1,1,0,0,24,24,0.29518860761554333
