group_type,group,version,rows,sl,tp1,tp2,sl_rate,tp1_rate,tp2_rate,avg_r,total_r,sl_removed_vs_base,tp2_retention_vs_base,total_r_delta_vs_base
quarter_direction,2026Q1 bullish,v1_base,330.0,213.0,117.0,114.0,0.6454545454545455,0.35454545454545455,0.34545454545454546,0.16085112223601392,53.08087033788459,0.0,1.0,0.0
quarter_direction,2026Q2 bearish,v1_base,245.0,153.0,92.0,91.0,0.6244897959183674,0.37551020408163266,0.37142857142857144,0.16799080743510095,41.157747821599735,0.0,1.0,0.0
quarter_direction,2026Q2 bullish,v1_base,268.0,187.0,81.0,80.0,0.6977611940298507,0.30223880597014924,0.29850746268656714,-0.07559590861182282,-20.259703507968517,0.0,1.0,0.0
quarter_direction,2025Q1 bearish,v1_5_mss_variable,163.0,94.0,69.0,67.0,0.5766871165644172,0.4233128834355828,0.4110429447852761,0.4025607834661759,65.61740770498668,0.48633879781420764,0.8481012658227848,71.84680840111616
quarter_direction,2025Q1 bullish,v1_5_mss_variable,185.0,102.0,83.0,81.0,0.5513513513513514,0.4486486486486487,0.43783783783783786,0.44816654850700827,82.91081147379653,0.41714285714285715,0.9310344827586207,68.72882759213833
quarter_direction,2025Q2 bearish,v1_5_mss_variable,189.0,113.0,76.0,75.0,0.5978835978835979,0.4021164021164021,0.3968253968253968,0.337640887988495,63.81412782982555,0.4263959390862944,0.7894736842105263,46.580881206759344
quarter_direction,2025Q2 bullish,v1_5_mss_variable,180.0,98.0,82.0,73.0,0.5444444444444444,0.45555555555555555,0.40555555555555556,0.33615633293890845,60.50813992900352,0.4463276836158192,0.9125,71.07076282713524
quarter_direction,2025Q3 bearish,v1_5_mss_variable,133.0,70.0,63.0,61.0,0.5263157894736842,0.47368421052631576,0.45864661654135336,0.5587012293706931,74.30726350630218,0.47761194029850745,0.6630434782608695,-6.217965358646609
quarter_direction,2025Q3 bullish,v1_5_mss_variable,175.0,80.0,95.0,92.0,0.45714285714285713,0.5428571428571428,0.5257142857142857,0.7387894301331844,129.28815027330728,0.42028985507246375,0.9108910891089109,43.37474401209194
quarter_direction,2025Q4 bearish,v1_5_mss_variable,172.0,91.0,81.0,79.0,0.5290697674418605,0.47093023255813954,0.45930232558139533,0.5327943285589509,91.64062451213957,0.553921568627451,0.7314814814814815,53.21483246414855
quarter_direction,2025Q4 bullish,v1_5_mss_variable,226.0,134.0,92.0,89.0,0.5929203539823009,0.40707964601769914,0.3938053097345133,0.3085325974445467,69.72836702246755,0.39090909090909093,0.8811881188118812,68.49518342148238
quarter_direction,2026Q1 bearish,v1_5_mss_variable,155.0,70.0,85.0,76.0,0.45161290322580644,0.5483870967741935,0.49032258064516127,0.6715407400815058,104.0888147126334,0.554140127388535,0.6785714285714286,-9.250060738480187
quarter_direction,2026Q1 bullish,v1_5_mss_variable,180.0,88.0,92.0,90.0,0.4888888888888889,0.5111111111111111,0.5,0.6624452955801489,119.2401532044268,0.5868544600938967,0.7894736842105263,66.15928286654221
quarter_direction,2026Q2 bearish,v1_5_mss_variable,144.0,68.0,76.0,76.0,0.4722222222222222,0.5277777777777778,0.5277777777777778,0.7037267069563033,101.33664580170768,0.5555555555555556,0.8351648351648352,60.17889798010794
quarter_direction,2026Q2 bullish,v1_5_mss_variable,171.0,106.0,65.0,64.0,0.6198830409356725,0.38011695906432746,0.3742690058479532,0.15421375363771936,26.370551872050008,0.43315508021390375,0.8,46.630255380018525
