threshold,test_rows,selected_rows,selection_rate,baseline_target_prob,selected_target_prob,baseline_tp1_prob,selected_tp1_prob,baseline_tp2_prob,selected_tp2_prob,baseline_avg_r,selected_avg_r,baseline_sl_prob,selected_sl_prob,target,train_start,train_end,test_start,test_end,train_rows
0.6,972,0,0.0,0.3065843621399177,0.0,0.3323045267489712,0.0,0.3065843621399177,0.0,0.17096446552372985,0.0,0.46296296296296297,0.0,reached_tp2,2024-07-01,2025-07-01,2025-07-01,2025-10-01,4062
0.2,1058,798,0.7542533081285444,0.23724007561436672,0.3032581453634085,0.2523629489603025,0.3157894736842105,0.23724007561436672,0.3032581453634085,-0.029449489981006393,-0.04185726302277334,0.5207939508506616,0.6842105263157895,reached_tp2,2024-10-01,2025-10-01,2025-10-01,2026-01-01,4025
0.25,1058,775,0.7325141776937618,0.23724007561436672,0.30709677419354836,0.2523629489603025,0.3135483870967742,0.23724007561436672,0.30709677419354836,-0.029449489981006393,-0.03147090774172125,0.5207939508506616,0.6864516129032258,reached_tp2,2024-10-01,2025-10-01,2025-10-01,2026-01-01,4025
0.3,1058,589,0.556710775047259,0.23724007561436672,0.3140916808149406,0.2523629489603025,0.31918505942275044,0.23724007561436672,0.3140916808149406,-0.029449489981006393,0.005847284446544718,0.5207939508506616,0.6808149405772496,reached_tp2,2024-10-01,2025-10-01,2025-10-01,2026-01-01,4025
0.35,1058,30,0.02835538752362949,0.23724007561436672,0.4666666666666667,0.2523629489603025,0.4666666666666667,0.23724007561436672,0.4666666666666667,-0.029449489981006393,0.8552336797014354,0.5207939508506616,0.5333333333333333,reached_tp2,2024-10-01,2025-10-01,2025-10-01,2026-01-01,4025
0.4,1058,4,0.003780718336483932,0.23724007561436672,0.75,0.2523629489603025,0.75,0.23724007561436672,0.75,-0.029449489981006393,2.0448412938302267,0.5207939508506616,0.25,reached_tp2,2024-10-01,2025-10-01,2025-10-01,2026-01-01,4025
0.45,1058,0,0.0,0.23724007561436672,0.0,0.2523629489603025,0.0,0.23724007561436672,0.0,-0.029449489981006393,0.0,0.5207939508506616,0.0,reached_tp2,2024-10-01,2025-10-01,2025-10-01,2026-01-01,4025
0.5,1058,0,0.0,0.23724007561436672,0.0,0.2523629489603025,0.0,0.23724007561436672,0.0,-0.029449489981006393,0.0,0.5207939508506616,0.0,reached_tp2,2024-10-01,2025-10-01,2025-10-01,2026-01-01,4025
0.55,1058,0,0.0,0.23724007561436672,0.0,0.2523629489603025,0.0,0.23724007561436672,0.0,-0.029449489981006393,0.0,0.5207939508506616,0.0,reached_tp2,2024-10-01,2025-10-01,2025-10-01,2026-01-01,4025
0.6,1058,0,0.0,0.23724007561436672,0.0,0.2523629489603025,0.0,0.23724007561436672,0.0,-0.029449489981006393,0.0,0.5207939508506616,0.0,reached_tp2,2024-10-01,2025-10-01,2025-10-01,2026-01-01,4025
0.2,1075,827,0.7693023255813953,0.2651162790697674,0.33373639661426846,0.28651162790697676,0.3567110036275695,0.2651162790697674,0.33373639661426846,0.06565060603488512,0.08764512423267888,0.5013953488372093,0.6432889963724304,reached_tp2,2025-01-01,2026-01-01,2026-01-01,2026-04-01,4049
0.25,1075,796,0.7404651162790697,0.2651162790697674,0.33542713567839194,0.28651162790697676,0.3542713567839196,0.2651162790697674,0.33542713567839194,0.06565060603488512,0.09740547580589111,0.5013953488372093,0.6457286432160804,reached_tp2,2025-01-01,2026-01-01,2026-01-01,2026-04-01,4049
0.3,1075,677,0.6297674418604651,0.2651162790697674,0.32791728212703103,0.28651162790697676,0.34416543574593794,0.2651162790697674,0.32791728212703103,0.06565060603488512,0.0797590417865361,0.5013953488372093,0.6558345642540621,reached_tp2,2025-01-01,2026-01-01,2026-01-01,2026-04-01,4049
0.35,1075,210,0.19534883720930232,0.2651162790697674,0.3333333333333333,0.28651162790697676,0.3333333333333333,0.2651162790697674,0.3333333333333333,0.06565060603488512,0.2688804412257078,0.5013953488372093,0.6666666666666666,reached_tp2,2025-01-01,2026-01-01,2026-01-01,2026-04-01,4049
0.4,1075,24,0.022325581395348838,0.2651162790697674,0.2916666666666667,0.28651162790697676,0.2916666666666667,0.2651162790697674,0.2916666666666667,0.06565060603488512,0.21545538156511349,0.5013953488372093,0.7083333333333334,reached_tp2,2025-01-01,2026-01-01,2026-01-01,2026-04-01,4049
0.45,1075,2,0.0018604651162790699,0.2651162790697674,0.0,0.28651162790697676,0.0,0.2651162790697674,0.0,0.06565060603488512,-1.0194999695606128,0.5013953488372093,1.0,reached_tp2,2025-01-01,2026-01-01,2026-01-01,2026-04-01,4049
0.5,1075,0,0.0,0.2651162790697674,0.0,0.28651162790697676,0.0,0.2651162790697674,0.0,0.06565060603488512,0.0,0.5013953488372093,0.0,reached_tp2,2025-01-01,2026-01-01,2026-01-01,2026-04-01,4049
0.55,1075,0,0.0,0.2651162790697674,0.0,0.28651162790697676,0.0,0.2651162790697674,0.0,0.06565060603488512,0.0,0.5013953488372093,0.0,reached_tp2,2025-01-01,2026-01-01,2026-01-01,2026-04-01,4049
0.6,1075,0,0.0,0.2651162790697674,0.0,0.28651162790697676,0.0,0.2651162790697674,0.0,0.06565060603488512,0.0,0.5013953488372093,0.0,reached_tp2,2025-01-01,2026-01-01,2026-01-01,2026-04-01,4049
0.2,862,673,0.7807424593967517,0.26218097447795824,0.3298662704309064,0.2691415313225058,0.3343239227340267,0.26218097447795824,0.3298662704309064,-0.002077999202661223,0.0009240744745148768,0.5243619489559165,0.6641901931649331,reached_tp2,2025-04-01,2026-04-01,2026-04-01,2026-07-01,4130
0.25,862,658,0.7633410672853829,0.26218097447795824,0.3252279635258359,0.2691415313225058,0.3282674772036474,0.26218097447795824,0.3252279635258359,-0.002077999202661223,-0.00808955916512762,0.5243619489559165,0.6702127659574468,reached_tp2,2025-04-01,2026-04-01,2026-04-01,2026-07-01,4130
0.3,862,577,0.6693735498839907,0.26218097447795824,0.341421143847487,0.2691415313225058,0.3431542461005199,0.26218097447795824,0.341421143847487,-0.002077999202661223,0.04067407568693394,0.5243619489559165,0.6551126516464472,reached_tp2,2025-04-01,2026-04-01,2026-04-01,2026-07-01,4130
0.35,862,99,0.1148491879350348,0.26218097447795824,0.37373737373737376,0.2691415313225058,0.37373737373737376,0.26218097447795824,0.37373737373737376,-0.002077999202661223,0.30025065074582336,0.5243619489559165,0.6161616161616161,reached_tp2,2025-04-01,2026-04-01,2026-04-01,2026-07-01,4130
0.4,862,2,0.002320185614849188,0.26218097447795824,0.0,0.2691415313225058,0.0,0.26218097447795824,0.0,-0.002077999202661223,-0.5788953147420971,0.5243619489559165,0.5,reached_tp2,2025-04-01,2026-04-01,2026-04-01,2026-07-01,4130
0.45,862,1,0.001160092807424594,0.26218097447795824,0.0,0.2691415313225058,0.0,0.26218097447795824,0.0,-0.002077999202661223,0.0,0.5243619489559165,0.0,reached_tp2,2025-04-01,2026-04-01,2026-04-01,2026-07-01,4130
0.5,862,0,0.0,0.26218097447795824,0.0,0.2691415313225058,0.0,0.26218097447795824,0.0,-0.002077999202661223,0.0,0.5243619489559165,0.0,reached_tp2,2025-04-01,2026-04-01,2026-04-01,2026-07-01,4130
0.55,862,0,0.0,0.26218097447795824,0.0,0.2691415313225058,0.0,0.26218097447795824,0.0,-0.002077999202661223,0.0,0.5243619489559165,0.0,reached_tp2,2025-04-01,2026-04-01,2026-04-01,2026-07-01,4130
0.6,862,0,0.0,0.26218097447795824,0.0,0.2691415313225058,0.0,0.26218097447795824,0.0,-0.002077999202661223,0.0,0.5243619489559165,0.0,reached_tp2,2025-04-01,2026-04-01,2026-04-01,2026-07-01,4130
